iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
OWID_EUN,,European Union,2021-09-18,37357081.0,42375.0,48643.571,764148.0,373.0,544.857,83537.396,94.758,108.776,1708.777,0.834,1.218,,,,,,,,,,,,,,,,,,,551684979.0,295924367.0,273062859.0,1485816.0,316284.0,881696.0,123.37,66.17,61.06,0.33,1972.0,,447189915.0,,,,,,,,,,,,,,,
FJI,Oceania,Fiji,2021-09-18,49880.0,161.0,146.0,566.0,0.0,4.429,55244.274,178.315,161.701,626.87,0.0,4.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FIN,Europe,Finland,2021-09-18,136206.0,391.0,506.286,1052.0,0.0,1.286,24548.871,70.471,91.25,189.606,0.0,0.232,,,,,,,,,,,,,,,,,,,7358931.0,4099673.0,3259258.0,,26116.0,24815.0,132.63,73.89,58.74,,4472.0,,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,
FRA,Europe,France,2021-09-18,7037931.0,7972.0,7892.571,116662.0,44.0,81.0,104166.492,117.991,116.816,1726.682,0.651,1.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
GAB,Africa,Gabon,2021-09-18,27643.0,0.0,143.571,175.0,0.0,0.714,12130.353,0.0,63.002,76.794,0.0,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,
GMB,Africa,Gambia,2021-09-18,9867.0,0.0,6.714,330.0,0.0,0.286,3967.531,0.0,2.7,132.693,0.0,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GEO,Asia,Georgia,2021-09-18,593763.0,1997.0,2104.571,8498.0,52.0,50.286,149195.193,501.787,528.817,2135.298,13.066,12.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,
DEU,Europe,Germany,2021-09-18,4144165.0,7103.0,9140.714,92964.0,36.0,50.286,49393.823,84.66,108.947,1108.027,0.429,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,
GHA,Africa,Ghana,2021-09-18,125005.0,265.0,318.0,1118.0,2.0,4.429,3939.383,8.351,10.021,35.232,0.063,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,
GRC,Europe,Greece,2021-09-18,629498.0,2184.0,2237.143,14433.0,39.0,41.714,60699.388,210.592,215.717,1391.703,3.761,4.022,,,,,,,,,,,,,,,,,,,11879410.0,6362673.0,5939715.0,,31341.0,26135.0,114.55,61.35,57.27,,2520.0,,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,
GRD,North America,Grenada,2021-09-18,3490.0,0.0,163.571,48.0,0.0,3.429,30880.857,0.0,1447.343,424.722,0.0,30.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,
GTM,North America,Guatemala,2021-09-18,528588.0,3427.0,2704.857,12999.0,52.0,47.714,28963.936,187.782,148.212,712.279,2.849,2.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,
GIN,Africa,Guinea,2021-09-18,30136.0,0.0,19.286,370.0,0.0,0.714,2232.753,0.0,1.429,27.413,0.0,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,
GNB,Africa,Guinea-Bissau,2021-09-18,6078.0,9.0,8.143,130.0,0.0,0.714,3015.644,4.465,4.04,64.5,0.0,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,
GUY,South America,Guyana,2021-09-18,29345.0,273.0,223.286,713.0,7.0,5.571,37130.107,345.426,282.522,902.156,8.857,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
HTI,North America,Haiti,2021-09-18,21330.0,0.0,24.0,596.0,0.0,1.143,1848.084,0.0,2.079,51.639,0.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,
HND,North America,Honduras,2021-09-18,357654.0,947.0,967.857,9491.0,39.0,24.571,35541.51,94.107,96.18,943.159,3.876,2.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,
HKG,Asia,Hong Kong,2021-09-18,12157.0,5.0,2.143,213.0,0.0,0.143,1609.602,0.662,0.284,28.201,0.0,0.019,,,,,,,,,,,,,,,,,,,8356527.0,4398799.0,3957728.0,,40445.0,34419.0,110.64,58.24,52.4,,4557.0,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,
HUN,Europe,Hungary,2021-09-18,817159.0,0.0,346.714,30123.0,0.0,5.286,84818.898,0.0,35.988,3126.686,0.0,0.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,
ISL,Europe,Iceland,2021-09-18,11404.0,0.0,24.286,33.0,0.0,0.0,33212.954,0.0,70.73,96.109,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,
IND,Asia,India,2021-09-18,33448163.0,30773.0,30177.429,444838.0,309.0,311.857,24004.554,22.085,21.657,319.244,0.222,0.224,,,,,,,,,,,,,,,,,,,796015119.0,597205296.0,198809823.0,,18627269.0,8940878.0,57.13,42.86,14.27,,6417.0,,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,
IDN,Asia,Indonesia,2021-09-18,4188529.0,3385.0,3542.429,140323.0,185.0,231.714,15155.963,12.248,12.818,507.751,0.669,0.838,,,,,,,,,,,,,,,,,,,123257089.0,78540519.0,44716570.0,,1714886.0,1353433.0,44.6,28.42,16.18,,4897.0,,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,
OWID_INT,,International,2021-09-18,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2021-09-18,5408860.0,12847.0,19041.857,116791.0,355.0,423.857,63612.124,151.09,223.946,1373.547,4.175,4.985,,,,,,,,,,,,,,,,,,,42003863.0,28382995.0,13620868.0,,,1114115.0,49.4,33.38,16.02,,13103.0,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-09-18,1972705.0,1959.0,3642.0,21775.0,36.0,47.143,47905.199,47.572,88.442,528.784,0.874,1.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
IRL,Europe,Ireland,2021-09-18,374143.0,1456.0,1261.429,5179.0,0.0,3.429,75085.332,292.199,253.151,1039.354,0.0,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,
ISR,Asia,Israel,2021-09-18,1220397.0,8954.0,7816.429,7511.0,17.0,24.714,138842.787,1018.684,889.264,854.516,1.934,2.812,,,,,,,,,,,,,,,,,,,14671507.0,6061753.0,5575391.0,3034363.0,10437.0,39642.0,166.92,68.96,63.43,34.52,4510.0,,8789776.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
ITA,Europe,Italy,2021-09-18,4632275.0,4576.0,4360.857,130284.0,51.0,57.0,76734.621,75.802,72.239,2158.182,0.845,0.944,,,,,,,,,,,,,,,,,,,82278770.0,44217710.0,39524066.0,,199797.0,210497.0,136.3,73.25,65.47,,3487.0,,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
JAM,North America,Jamaica,2021-09-18,79127.0,537.0,547.143,1777.0,5.0,10.429,26611.068,180.598,184.009,597.62,1.682,3.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
JPN,Asia,Japan,2021-09-18,1674684.0,4702.0,5703.714,17183.0,63.0,58.571,13285.787,37.302,45.249,136.318,0.5,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JOR,Asia,Jordan,2021-09-18,812681.0,428.0,952.714,10606.0,12.0,10.714,79139.085,41.679,92.776,1032.815,1.169,1.043,,,,,,,,,,,,,,,,,,,6786367.0,3622207.0,3164160.0,,16069.0,20966.0,66.09,35.27,30.81,,2042.0,,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-09-18,934449.0,2991.0,3172.571,15031.0,0.0,86.857,49194.581,157.463,167.022,791.315,0.0,4.573,,,,,,,,,,,,,,,,,,,13368189.0,7259649.0,6108540.0,,80413.0,64583.0,70.38,38.22,32.16,,3400.0,,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KEN,Africa,Kenya,2021-09-18,246296.0,515.0,405.714,4980.0,15.0,11.143,4479.274,9.366,7.379,90.569,0.273,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
KIR,Oceania,Kiribati,2021-09-18,2.0,0.0,0.0,,,0.0,16.476,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
OWID_KOS,Europe,Kosovo,2021-09-18,158934.0,259.0,336.571,2889.0,11.0,16.714,82231.032,134.004,174.139,1494.743,5.691,8.648,,,,,,,,,,,,,,,,,,,1147803.0,722252.0,425551.0,,18553.0,18867.0,59.39,37.37,22.02,,9762.0,,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
KWT,Asia,Kuwait,2021-09-18,411124.0,43.0,55.714,2438.0,1.0,1.143,94979.546,9.934,12.871,563.237,0.231,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-09-18,177653.0,86.0,81.429,2586.0,3.0,2.429,26802.007,12.975,12.285,390.143,0.453,0.366,,,,,,,,,,,,,,,,,,,1331001.0,764781.0,561853.0,,3824.0,10508.0,20.08,11.54,8.48,,1585.0,,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-09-18,18814.0,467.0,239.143,16.0,0.0,0.0,2549.544,63.285,32.407,2.168,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
LVA,Europe,Latvia,2021-09-18,150156.0,542.0,479.429,2640.0,5.0,4.714,80429.196,290.316,256.8,1414.083,2.678,2.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
LBN,Asia,Lebanon,2021-09-18,617662.0,626.0,707.0,8232.0,4.0,7.286,91246.598,92.478,104.444,1216.105,0.591,1.076,,,,,,,,,,,,,,,,,,,2705953.0,1500527.0,1205426.0,,1530.0,15058.0,39.97,22.17,17.81,,2225.0,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
LSO,Africa,Lesotho,2021-09-18,14395.0,0.0,0.0,403.0,0.0,0.0,6667.232,0.0,0.0,186.655,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-09-18,5904.0,0.0,25.286,283.0,0.0,5.429,1139.723,0.0,4.881,54.631,0.0,1.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-09-18,329824.0,0.0,1048.143,4490.0,0.0,11.429,47398.462,0.0,150.627,645.25,0.0,1.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
LIE,Europe,Liechtenstein,2021-09-18,3405.0,3.0,4.143,60.0,0.0,0.0,89010.3,78.423,108.299,1568.463,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-09-18,315066.0,1374.0,1063.429,4777.0,14.0,15.429,117130.916,510.807,395.347,1775.928,5.205,5.736,,,,,,,,,,,,,,,,,,,3317832.0,1721361.0,1596471.0,,1580.0,8052.0,123.35,63.99,59.35,,2993.0,,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-09-18,77189.0,0.0,79.571,834.0,0.0,0.0,121593.097,0.0,125.346,1313.771,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,
MDG,Africa,Madagascar,2021-09-18,42898.0,0.0,0.571,958.0,0.0,0.0,1509.041,0.0,0.02,33.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MWI,Africa,Malawi,2021-09-18,61337.0,50.0,34.143,2256.0,4.0,2.857,3121.844,2.545,1.738,114.823,0.204,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MYS,Asia,Malaysia,2021-09-18,2082876.0,15549.0,17482.286,23067.0,324.0,378.286,63548.438,474.399,533.384,703.773,9.885,11.541,,,,,,,,,,,,,,,,,,,40155975.0,21941842.0,18295014.0,,232559.0,231466.0,122.52,66.94,55.82,,7062.0,,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-09-18,83494.0,162.0,115.714,229.0,0.0,0.286,153588.904,298.002,212.859,421.25,0.0,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
MLI,Africa,Mali,2021-09-18,15060.0,31.0,11.286,545.0,0.0,0.286,722.104,1.486,0.541,26.132,0.0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
MLT,Europe,Malta,2021-09-18,36952.0,25.0,34.857,453.0,0.0,0.857,71812.253,48.585,67.741,880.357,0.0,1.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514564.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MHL,Oceania,Marshall Islands,2021-09-18,4.0,0.0,0.0,,,0.0,67.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,
MRT,Africa,Mauritania,2021-09-18,35380.0,52.0,87.0,765.0,2.0,2.286,7409.253,10.89,18.219,160.206,0.419,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-09-18,14243.0,0.0,161.286,50.0,0.0,1.143,11184.771,0.0,126.655,39.264,0.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
MEX,North America,Mexico,2021-09-18,3552983.0,0.0,6605.714,270538.0,0.0,430.571,27275.621,0.0,50.711,2076.872,0.0,3.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
FSM,Oceania,Micronesia (country),2021-09-18,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,
MDA,Europe,Moldova,2021-09-18,281216.0,1041.0,945.286,6586.0,8.0,11.286,69884.258,258.696,234.91,1636.67,1.988,2.805,,,,,,,,,,,,,,,,,,,1359731.0,,752255.0,,2236.0,4083.0,33.79,,18.69,,1015.0,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-09-18,3290.0,0.0,2.143,33.0,0.0,0.0,83248.988,0.0,54.222,835.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNG,Asia,Mongolia,2021-09-18,275146.0,5670.0,3214.0,1108.0,25.0,12.429,82644.246,1703.07,965.373,332.804,7.509,3.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
