iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
IRN,Asia,Iran,2021-09-06,5156986.0,27579.0,28034.571,111257.0,583.0,586.571,60649.902,324.349,329.707,1308.463,6.857,6.899,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-09-06,1922942.0,5650.0,5961.286,21162.0,62.0,56.857,46696.753,137.205,144.764,513.898,1.506,1.381,0.86,,,,,,,,,,,,,,,,,,3754174.0,,,,,55047.0,9.12,,,,1337.0,,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
ISR,Asia,Israel,2021-09-06,1117596.0,0.0,8015.429,7205.0,0.0,23.143,127147.267,0.0,911.904,819.702,0.0,2.633,0.86,206.0,23.436,1096.0,124.69,625.0,71.105,1198.0,136.295,,,,,,,,,,,,,,,,,,,,,45.37,8789776.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
JPN,Asia,Japan,2021-09-06,1583665.0,8282.0,15688.286,16409.0,40.0,56.143,12563.705,65.704,124.46,130.178,0.317,0.445,0.8,,,,,,,,,,,,,,,,,,135685318.0,75065848.0,60619470.0,,,989351.0,107.64,59.55,48.09,,7849.0,,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JOR,Asia,Jordan,2021-09-06,802349.0,1061.0,870.0,10477.0,6.0,11.286,78132.952,103.32,84.721,1020.253,0.584,1.099,1.03,,,,,,,,,,,,,,,,,,6569452.0,3534483.0,3034969.0,,56793.0,24600.0,63.97,34.42,29.55,,2396.0,,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-09-06,891783.0,3595.0,4654.286,14423.0,691.0,212.429,46948.406,189.261,245.027,759.307,36.378,11.183,0.87,,,,,,,,,,,,,,,,,,12501794.0,6839097.0,5662697.0,,35910.0,78821.0,65.82,36.0,29.81,,4150.0,,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KWT,Asia,Kuwait,2021-09-06,410413.0,71.0,96.714,2425.0,1.0,1.0,94815.288,16.403,22.343,560.233,0.231,0.231,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-09-06,176582.0,109.0,141.857,2554.0,4.0,4.286,26640.428,16.445,21.402,385.315,0.603,0.647,0.67,,,,,,,,,,,,,,,,,,1204086.0,710470.0,490322.0,,15949.0,11160.0,18.17,10.72,7.4,,1684.0,,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-09-06,16058.0,125.0,177.429,16.0,0.0,0.286,2176.07,16.939,24.044,2.168,0.0,0.039,0.75,,,,,,,,,,,,,,,,,,,,,,,26832.0,,,,,3636.0,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
LBN,Asia,Lebanon,2021-09-06,608041.0,641.0,973.571,8114.0,13.0,9.429,89825.297,94.694,143.825,1198.673,1.92,1.393,0.92,,,,,,,,,,,,,,,,,,2535444.0,1407930.0,1127514.0,,30097.0,14266.0,37.46,20.8,16.66,,2108.0,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
