iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
HTI,North America,Haiti,2021-09-06,21069.0,92.0,31.286,588.0,2.0,0.571,1825.47,7.971,2.711,50.946,0.173,0.05,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,
HND,North America,Honduras,2021-09-06,346134.0,2327.0,1053.857,9081.0,58.0,33.0,34396.721,231.243,104.726,902.415,5.764,3.279,1.07,,,,,,,,,,,,,,,,,,4526090.0,2896759.0,1629331.0,,,56130.0,44.98,28.79,16.19,,5578.0,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,
JAM,North America,Jamaica,2021-09-06,71987.0,643.0,655.0,1637.0,18.0,18.143,24209.827,216.246,220.282,550.537,6.054,6.102,1.15,,,,,,,,,,,,,,,,,,576590.0,435611.0,148138.0,,,6987.0,19.39,14.65,4.98,,2350.0,74.07,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
MEX,North America,Mexico,2021-09-06,3433511.0,5127.0,13178.143,263470.0,330.0,711.286,26358.456,39.359,101.166,2022.613,2.533,5.46,0.95,,,,,,,,,,,,,,,,,,87750381.0,59334972.0,36190731.0,,525667.0,400563.0,67.36,45.55,27.78,,3075.0,,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
NIC,North America,Nicaragua,2021-09-06,11735.0,0.0,81.143,200.0,0.0,0.143,1750.871,0.0,12.107,29.84,0.0,0.021,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
PAN,North America,Panama,2021-09-06,459844.0,0.0,401.0,7086.0,0.0,4.571,104949.284,0.0,91.519,1617.224,0.0,1.043,0.74,,,,,,,,,,,,,,,,,,4711715.0,2819641.0,1892074.0,,43710.0,50933.0,107.53,64.35,43.18,,11624.0,,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
KNA,North America,Saint Kitts and Nevis,2021-09-06,1230.0,82.0,25.286,5.0,1.0,0.286,22970.904,1531.394,472.224,93.378,18.676,5.336,1.49,,,,,,,,,,,,,,,,,,46372.0,24458.0,21914.0,,,56.0,86.6,45.68,40.93,,1046.0,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-09-06,9191.0,42.0,148.0,118.0,2.0,2.143,49842.463,227.764,802.599,639.91,10.846,11.621,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-09-06,2379.0,8.0,6.143,12.0,0.0,0.0,21380.618,71.898,55.207,107.847,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
TTO,North America,Trinidad and Tobago,2021-09-06,45824.0,110.0,174.0,1336.0,6.0,7.286,32652.735,78.383,123.987,951.991,4.275,5.192,1.01,,,,,,,,,,,,,,,,,,936935.0,523198.0,413737.0,,2069.0,4931.0,66.76,37.28,29.48,,3514.0,,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,
USA,North America,United States,2021-09-06,40018318.0,73326.0,137270.286,648998.0,530.0,1448.714,120205.786,220.254,412.328,1949.44,1.592,4.352,0.79,25273.0,75.914,93963.0,282.243,,,86587.0,260.087,,,,,,,,,,,,,,,848045.0,,,,,2522.0,57.87,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
