iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
COD,Africa,Democratic Republic of Congo,2021-09-06,55307.0,0.0,63.429,1061.0,0.0,0.286,598.703,0.0,0.687,11.485,0.0,0.003,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DJI,Africa,Djibouti,2021-09-06,11785.0,8.0,5.429,157.0,0.0,0.0,11759.165,7.982,5.417,156.656,0.0,0.0,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
EGY,Africa,Egypt,2021-09-06,290395.0,368.0,319.0,16801.0,12.0,10.571,2785.341,3.53,3.06,161.148,0.115,0.101,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
GNQ,Africa,Equatorial Guinea,2021-09-06,9939.0,179.0,87.571,129.0,1.0,0.714,6854.998,123.458,60.399,88.972,0.69,0.493,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-09-06,6648.0,0.0,0.857,38.0,0.0,0.0,1845.917,0.0,0.238,10.551,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
SWZ,Africa,Eswatini,2021-09-06,44234.0,58.0,168.571,1156.0,11.0,8.857,37730.442,49.472,143.787,986.038,9.383,7.555,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
ETH,Africa,Ethiopia,2021-09-06,316174.0,1190.0,1337.714,4785.0,22.0,17.857,2682.254,10.095,11.348,40.593,0.187,0.151,1.19,,,,,,,,,,,,,,,,,,2575687.0,2575687.0,,,52608.0,17704.0,2.19,2.19,,,150.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,
GAB,Africa,Gabon,2021-09-06,26177.0,98.0,51.143,168.0,1.0,0.429,11487.04,43.005,22.443,73.722,0.439,0.188,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,
GMB,Africa,Gambia,2021-09-06,9789.0,53.0,13.0,328.0,5.0,1.286,3936.167,21.311,5.227,131.889,2.011,0.517,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GHA,Africa,Ghana,2021-09-06,121307.0,855.0,434.429,1069.0,17.0,7.429,3822.845,26.944,13.69,33.688,0.536,0.234,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,
