iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
FRA,Europe,France,2021-09-06,6924325.0,3050.0,12761.0,115563.0,162.0,112.143,102485.04,45.142,188.872,1710.416,2.398,1.66,0.82,,,,,,,,,,,,,,,,,,89707268.0,49070298.0,41653844.0,,247375.0,317875.0,132.77,72.63,61.65,,4705.0,,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
DEU,Europe,Germany,2021-09-06,4020587.0,6779.0,10507.429,92419.0,59.0,30.143,47920.911,80.798,125.237,1101.531,0.703,0.359,1.32,,,,,,,,,,,,,,,,,,103014592.0,54804182.0,51132897.0,40295.0,140295.0,185849.0,122.78,65.32,60.94,0.05,2215.0,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,
GRC,Europe,Greece,2021-09-06,601716.0,1765.0,2579.714,13933.0,47.0,47.571,58020.507,170.19,248.749,1343.49,4.532,4.587,0.9,,,,,,,,,,,,,,,,,,11552558.0,6161023.0,5788447.0,,29054.0,25117.0,111.4,59.41,55.82,,2422.0,,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,
GGY,Europe,Guernsey,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100580.0,,,,,159.0,150.0,,,,2371.0,,67052.0,,,,,,,,,,,,,,,
HUN,Europe,Hungary,2021-09-06,813688.0,648.0,208.714,30070.0,9.0,1.857,84458.617,67.261,21.664,3121.185,0.934,0.193,1.45,,,,,,,,,,,,,,,,,,11763457.0,5821254.0,,418000.0,22138.0,71646.0,122.1,60.42,,4.34,7437.0,25.0,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,
ISL,Europe,Iceland,2021-09-06,11063.0,31.0,51.143,33.0,0.0,0.0,32219.828,90.284,148.948,96.109,0.0,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,1398.0,,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,
IRL,Europe,Ireland,2021-09-06,357955.0,1136.0,984.286,5112.0,0.0,2.857,71836.624,227.98,197.533,1025.908,0.0,0.573,0.96,,,,,,,,,,,,,,,,,,6937291.0,3716531.0,3454224.0,,13031.0,16951.0,139.22,74.59,69.32,,3402.0,,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,
IMN,Europe,Isle of Man,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128307.0,65288.0,63019.0,,442.0,150.0,150.22,76.44,73.78,,1756.0,,85410.0,147.872,,,,,,,,,,,,81.4,,
ITA,Europe,Italy,2021-09-06,4574787.0,3347.0,5755.429,129567.0,52.0,60.143,75782.32,55.444,95.34,2146.305,0.861,0.996,0.93,,,,,,,,,,,,,,,,,,79461605.0,43287771.0,37621650.0,,285236.0,267271.0,131.63,71.71,62.32,,4427.0,,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
OWID_KOS,Europe,Kosovo,2021-09-06,152658.0,489.0,1293.571,2657.0,28.0,25.714,78983.885,253.004,669.282,1374.708,14.487,13.304,1.19,,,,,,,,,,,,,,,,,,,,,,,17498.0,,,,,9053.0,,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
LVA,Europe,Latvia,2021-09-06,144632.0,114.0,318.857,2588.0,3.0,2.143,77470.334,61.063,170.792,1386.23,1.607,1.148,1.43,,,,,,,,,,,,,,,,,,1534335.0,871193.0,774816.0,,3986.0,4511.0,82.18,46.66,41.5,,2416.0,37.96,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
LIE,Europe,Liechtenstein,2021-09-06,3331.0,9.0,9.286,59.0,0.0,0.0,87075.861,235.27,242.738,1542.322,0.0,0.0,1.27,,,,,,,,,,,,,,,,,,43139.0,22933.0,20485.0,,0.0,0.0,112.77,59.95,53.55,,0.0,,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-09-06,302979.0,355.0,687.714,4612.0,5.0,9.286,112637.377,131.977,255.669,1714.586,1.859,3.452,1.14,,,,,,,,,,,,,,,,,,3221559.0,1680799.0,1540760.0,,10830.0,9298.0,119.77,62.49,57.28,,3457.0,25.0,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-09-06,76245.0,143.0,81.857,832.0,2.0,0.286,120106.047,225.263,128.947,1310.62,3.151,0.45,1.1,,,,,,,,,,,,,,,,,,768512.0,409782.0,358730.0,,,916.0,121.06,64.55,56.51,,1443.0,,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,
MLT,Europe,Malta,2021-09-06,36512.0,37.0,55.571,445.0,1.0,0.714,70957.16,71.906,107.997,864.81,1.943,1.388,0.97,,,,,,,,,,,,,,,,,,800572.0,415622.0,414343.0,,1358.0,606.0,155.58,80.77,80.52,,1178.0,43.52,514564.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MDA,Europe,Moldova,2021-09-06,270685.0,466.0,497.286,6445.0,9.0,6.857,67267.226,115.804,123.579,1601.63,2.237,1.704,1.34,,,,,,,,,,,,,,,,,,1312060.0,,714075.0,,11751.0,4714.0,32.61,,17.75,,1171.0,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-09-06,3240.0,6.0,7.429,33.0,0.0,0.0,81983.806,151.822,187.97,835.02,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNE,Europe,Montenegro,2021-09-06,118466.0,362.0,525.571,1770.0,13.0,7.143,188624.809,576.386,836.829,2818.242,20.699,11.373,0.98,,,,,,,,,,,,,,,,,,404847.0,215264.0,189583.0,,527.0,1802.0,64.46,34.27,30.19,,2869.0,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,
NLD,Europe,Netherlands,2021-09-06,1992391.0,2215.0,2629.571,18414.0,4.0,9.429,116018.174,128.981,153.122,1072.259,0.233,0.549,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,
MKD,Europe,North Macedonia,2021-09-06,180243.0,198.0,659.857,6097.0,32.0,28.0,86544.57,95.071,316.834,2927.505,15.365,13.444,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
